geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_sdPc_change
CG43248	1.64323791782502	-4.31292291194414	1.65745471270199	-2.60213620251089	0.00926450500586054	0.0244913933882772	depleted in absence of sd and Pc
comm3	21.793623566816	-2.55640567768367	1.05182802474635	-2.43044073511937	0.015080472141659	0.037230229846056	depleted in absence of sd and Pc
CG43083	44.9381071461225	-3.77929864901638	1.2603600600645	-2.99858649029466	0.00271235158277789	0.00840337211434144	depleted in absence of sd and Pc
CG43084	39.8017411057369	-3.4617574459113	1.04801350838563	-3.3031610930701	0.000956014506487375	0.00332554122253532	depleted in absence of sd and Pc
pgant8	120.947737087465	-1.39857645840414	0.223099256911421	-6.26885305565778	3.63717157593752e-10	4.4986709013294e-09	depleted in absence of sd and Pc
CG34452	2.99120033322119	-4.21861706575698	1.56550913780426	-2.69472529024896	0.00704466846355203	0.0193484502039249	depleted in absence of sd and Pc
CG17026	19.5332382711597	-2.53975372407421	0.776038736926097	-3.27271514065678	0.00106519771930068	0.00365836458511832	depleted in absence of sd and Pc
CG17029	23.924286983536	-2.66730394082278	0.583473906986684	-4.57141940519313	4.84431606297261e-06	2.90685135123916e-05	depleted in absence of sd and Pc
CG17027	20.8976316826622	-4.99020421311455	0.805269312450586	-6.19693826147232	5.75720702699851e-10	6.88323987608961e-09	depleted in absence of sd and Pc
Notum	295.115385581419	1.54535646303637	0.130127161605331	11.8757409596265	1.58225838255141e-32	2.22457517151879e-30	enriched in absence of sd and Pc
CG42717	7.40921568102401	-6.91962273855246	2.12185381302143	-3.26112133460278	0.00110972543002812	0.00379399213125605	depleted in absence of sd and Pc
CG43295	93.7111301131193	3.12760772490003	0.277618706234166	11.2658392776385	1.93499434738945e-29	2.19305940984231e-27	enriched in absence of sd and Pc
CG33687	6.57459312870688	-2.21166894017936	0.81266919692375	-2.72148735125108	0.00649888721358393	0.0180277573130062	depleted in absence of sd and Pc
l(3)72Dr	2.33992042681977	3.68294539788062	1.47317422093435	2.50000668321819	0.0124190963625963	0.0314498183537066	enriched in absence of sd and Pc
CG13053	117.437165630671	4.84313589290957	0.835476604648129	5.79685399443269	6.75704692913164e-09	6.9043716873841e-08	enriched in absence of sd and Pc
CG34247	102.617291078499	1.25562132376705	0.466446711292237	2.69188589686589	0.00710492487307691	0.0194802272439559	enriched in absence of sd and Pc
CG13071	8.78892364666517	-2.86771067646793	0.898946756108839	-3.19007845234465	0.00142234176633484	0.00473701649135863	depleted in absence of sd and Pc
CG13064	57.6079785807234	-1.00279329344206	0.387348873017063	-2.58886333044239	0.00962933036602462	0.0253443062501032	depleted in absence of sd and Pc
CG13046	150.183414369227	-1.58421700247262	0.164706117898303	-9.61844661684508	6.68327912753098e-22	3.37414460315848e-20	depleted in absence of sd and Pc
CG4962	74.7945925931669	-3.72600274608169	1.02145237057532	-3.64774986422819	0.000264546997341603	0.00106153305616806	depleted in absence of sd and Pc
CG4982	12.5020438422446	6.98376457586467	1.32379192165793	5.2755757620262	1.32339922184065e-07	1.07405322583522e-06	enriched in absence of sd and Pc
CG13043	22.4823377594061	-3.93687122256853	0.704189455652956	-5.59064210769542	2.2623144642807e-08	2.13125757037877e-07	depleted in absence of sd and Pc
CG13060	67.4914855488567	-2.27025299157499	0.436674865313981	-5.19895503933486	2.00411989917765e-07	1.57535454495161e-06	depleted in absence of sd and Pc
retinin	11.0826040765099	-3.98446399502075	0.801636908180097	-4.97040986307181	6.68115163416371e-07	4.79067470630448e-06	depleted in absence of sd and Pc
CG45057	42.8381306256797	-1.14699698341349	0.353761577085705	-3.24228818986641	0.00118574051517027	0.00401892581690453	depleted in absence of sd and Pc
Gagr	29.8866192473028	-1.37812011897535	0.532822112130792	-2.58645444248579	0.00969689882286614	0.0254738541214698	depleted in absence of sd and Pc
