geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_PcKD_change
Ance-3	9.65504526965127	-4.40410263280711	1.21212831846216	-3.63336337063278	0.000279750611532855	0.00253309108108573	depleted in absence of Pc
CG16886	39.5116779118417	-1.53825075123652	0.382087250821417	-4.02591488705671	5.675421632646e-05	0.000655264858398283	depleted in absence of Pc
CG16885	660.248284482093	-3.46491963852438	0.996207937024768	-3.47810884630428	0.000504964830682028	0.00409773758400527	depleted in absence of Pc
CG16884	589.479341239695	-3.95835545302355	1.22300824574306	-3.23657298861349	0.00120974284945636	0.008309172717158	depleted in absence of Pc
NimA	78.8917190518635	2.08849925812197	0.412059827149895	5.06843696112662	4.01095775080827e-07	8.7957640955091e-06	enriched in absence of Pc
NimC1	332.312907840886	1.01752195575369	0.183308701235354	5.55086555573413	2.84258638748952e-08	8.5119670158714e-07	enriched in absence of Pc
CG33648	2.86824133163646	5.15514820288422	1.40754390335229	3.66251325490196	0.000249752825259049	0.00230010672974633	enriched in absence of Pc
CG15282	264.170632322319	-1.24069932162605	0.23724428814604	-5.22962778712851	1.69851662991302e-07	4.10247849220265e-06	depleted in absence of Pc
CG34165	50.1491575097069	-2.65583434196379	0.495189764654158	-5.36326582561462	8.17305890155208e-08	2.11899484077962e-06	depleted in absence of Pc
CG42313	80.1905273929084	1.33058203042585	0.234111456761187	5.68354086055326	1.31934184065072e-08	4.2355422539511e-07	enriched in absence of Pc
CG4168	106.962017381694	1.39364356186203	0.236431433928973	5.89449354809859	3.75832281221743e-09	1.32720634206616e-07	enriched in absence of Pc
kek3	36.9966414484634	2.10564646574393	0.451981160125566	4.65870406005187	3.18206274157378e-06	5.37747599611503e-05	enriched in absence of Pc
CG31821	5.60126385906736	-3.27578008488205	1.21064140120722	-2.70582195653934	0.00681355653928884	0.0336115763578309	depleted in absence of Pc
CG4793	48.9214238863765	-1.88639591319138	0.493528952745382	-3.82225987492286	0.000132234223107839	0.00133815284471085	depleted in absence of Pc
jhamt	211.656618097413	-1.82393895331515	0.616251071028341	-2.9597335226883	0.00307905246189851	0.0178351675691757	depleted in absence of Pc
SclB	16.1530916061002	-2.41306342114506	0.65590927105152	-3.67895916042864	0.000234187761683196	0.00217633109564212	depleted in absence of Pc
CR31781	31.2734242578174	-2.13470621443725	0.663321588613025	-3.21820705233011	0.0012899466374784	0.00871969868938372	depleted in absence of Pc
Dhc36C	17.2423151914431	-1.30405431107497	0.440571263087597	-2.95991686324692	0.00307722071248989	0.0178346447745382	depleted in absence of Pc
Arr1	15.8739649912193	-4.53827021202318	1.1883863506868	-3.81885083870276	0.000134074799006297	0.00135276848928423	depleted in absence of Pc
ninaD	3.93904395045828	-5.01602438521479	1.45695963308456	-3.44280258101267	0.000575719420092991	0.00458471429329107	depleted in absence of Pc
CG17681	6.46627046184306	-1.98885276479599	0.710415023340853	-2.79956461990775	0.00511715732360222	0.0267371470158216	depleted in absence of Pc
Mst36Fb	3.23497647224001	-4.85764151072474	1.47219519666527	-3.29959065328292	0.000968259493555443	0.00696344485498687	depleted in absence of Pc
CG17470	12.5874400015231	-2.34024983260217	0.645167548269022	-3.62735205588229	0.000286342745970437	0.00257909943841974	depleted in absence of Pc
Oseg5	46.0315158421377	-3.35882813660208	0.394127579269811	-8.52218498087571	1.56571057244594e-17	2.05569768877165e-15	depleted in absence of Pc
CG33509	17.3909259659074	-2.01125210624388	0.725212708860511	-2.77332716549336	0.00554863057816849	0.0285258663408753	depleted in absence of Pc
ppk13	31.7255980226537	-2.55390532453549	0.616105581764287	-4.14523971235919	3.39458404151237e-05	0.000427600678587062	depleted in absence of Pc
nolo	432.950589137288	1.42038831411881	0.196967276515826	7.21129082578691	5.54239373349352e-13	3.70978132187628e-11	enriched in absence of Pc
CR41257	6.14850566164914	-2.12624613181977	0.809691690463555	-2.62599475437679	0.00863961488225124	0.0405491732397502	depleted in absence of Pc
