geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_vgPc_change
KFase	54.1924442325682	-1.1213169949766	0.444973850652705	-2.51996155129521	0.01173676538034	0.0325819177904115	depleted in absence of Pc and vg
CG9550	1.64342602094048	-4.66338192935404	1.65065334165013	-2.82517340963435	0.00472550339330296	0.0151790280761263	depleted in absence of Pc and vg
eya	2554.35604271867	-1.19926971312673	0.107592693535247	-11.1463861877744	7.45739042304119e-29	8.90636940093747e-27	depleted in absence of Pc and vg
CR44776	9.97222684016395	-1.74461724427281	0.703114533193269	-2.4812703505778	0.0130915038134181	0.0356041461448664	depleted in absence of Pc and vg
IFT52	16.9606715800708	-1.22267937582052	0.498832414156848	-2.45108244997904	0.0142427324872142	0.0382388275889504	depleted in absence of Pc and vg
CG11319	65.476537879075	-1.8024592756007	0.574575888645874	-3.13702560657153	0.00170671220615701	0.00633571272519583	depleted in absence of Pc and vg
CG31636	10.3303383943302	-3.48279831169558	1.32548135951654	-2.62757245636853	0.00859965252923899	0.0249585421066782	depleted in absence of Pc and vg
CG11221	10.6569830917179	-1.87973588604755	0.769913544089634	-2.44148956785816	0.0146268109249155	0.0390434965015708	depleted in absence of Pc and vg
CG11236	4.40016592407252	5.15395036869588	2.15979290447216	2.38631692789799	0.0170180780937916	0.0442462063173557	enriched in absence of Pc and vg
Ndae1	98.3945977923508	-1.31400267109252	0.442285434556869	-2.97093815085509	0.00296891565394992	0.0101902800273244	depleted in absence of Pc and vg
CG43799	12.7660420124864	3.07777084487555	0.615056118338144	5.00404882271808	5.61385289207454e-07	5.00425875379389e-06	enriched in absence of Pc and vg
CG5160	5.45238889456023	-2.73888725944189	0.988646008801435	-2.77034169466008	0.00559975134557843	0.0174709096054325	depleted in absence of Pc and vg
CG5171	63.5527371296668	-5.16563291643194	0.645672270701061	-8.00039455128401	1.24021164018175e-15	4.2912868185354e-14	depleted in absence of Pc and vg
CG5177	282.841021017034	-3.89372869698626	0.681547948366279	-5.71306641934704	1.10958346028587e-08	1.35281487304008e-07	depleted in absence of Pc and vg
CR43857	2.47278753587345	-4.11710351591232	1.69080053298898	-2.43500249472607	0.0148916870304294	0.0395759562412244	depleted in absence of Pc and vg
CG5958	277.686584358675	-4.4688349887135	1.2413593778871	-3.59995265538643	0.000318275125773887	0.00147479425196936	depleted in absence of Pc and vg
santa-maria	70.977916745846	-2.03351170133847	0.591590070543818	-3.43736618072235	0.000587400893585609	0.00252878361436254	depleted in absence of Pc and vg
CG6055	37.9934871367984	-5.14425171907709	0.895050447639146	-5.74744332305064	9.06029545424993e-09	1.12943548384236e-07	depleted in absence of Pc and vg
CG13795	42.9493913007136	-3.88319435454395	0.93812634625256	-4.13930849512516	3.48354253370612e-05	0.000208580630306597	depleted in absence of Pc and vg
CG13796	60.658902313833	-3.07974905776628	0.563551515309129	-5.46489357956374	4.63184597861967e-08	5.09870300143991e-07	depleted in absence of Pc and vg
CG7214	5.9829996814553	-3.46020463435715	1.39796047219382	-2.4751805957196	0.0133168818040552	0.0361109878412209	depleted in absence of Pc and vg
CG7203	4.0129762386225	-6.33429830863041	1.58243742860114	-4.00287442280094	6.25775214944025e-05	0.00035257409525908	depleted in absence of Pc and vg
Uro	3.26518929308718	-5.13009746128837	2.01922564709965	-2.54062613985569	0.011065417058585	0.0310049412890271	depleted in absence of Pc and vg
CG7149	35.3070819849	-2.03070687907225	0.545725741889172	-3.72111249882117	0.000198347046799141	0.00097825961314301	depleted in absence of Pc and vg
Proc	15.2421071979375	-2.71463617427508	1.03881342837258	-2.61320858985032	0.00896965396794674	0.0259037822730069	depleted in absence of Pc and vg
CG12560	27.4055162600194	-1.7328999964694	0.454198307377672	-3.81529382281135	0.000136020986741929	0.000700085773745414	depleted in absence of Pc and vg
CR44119	26.7319424640656	-1.08650992420698	0.373455090501678	-2.90934559962064	0.00362186238658085	0.0120950166950552	depleted in absence of Pc and vg
Scgalpha	28.1419776676208	-1.27264867626621	0.404325577947777	-3.14758389198566	0.00164625858520438	0.00614002488444093	depleted in absence of Pc and vg
mtsh	8.6107262578055	-1.99153486762687	0.822765195777276	-2.42053854228173	0.0154975363194692	0.0409364049716942	depleted in absence of Pc and vg
CG7781	63.7265864836427	-2.14096805752023	0.597580057947218	-3.58273009456639	0.000340021884627782	0.00156446689004175	depleted in absence of Pc and vg
CG14274	3.40079334218321	3.32724330507498	1.13249483222962	2.93797658972483	0.00330361968506974	0.0111835732526881	enriched in absence of Pc and vg
CG14273	13.2908236783689	-8.0812242803854	1.66530733640511	-4.85269241522127	1.21796516983396e-06	1.01257029501092e-05	depleted in absence of Pc and vg
grk	20.2652240686217	-1.43280621242762	0.547481609522444	-2.61708555594667	0.00886841098588614	0.025644738562936	depleted in absence of Pc and vg
fu12	74.0471943876147	-1.12410343839942	0.32987800734196	-3.40763377182081	0.000655287795554966	0.0027716228275815	depleted in absence of Pc and vg
Acer	90.1199006784951	-1.22728717164199	0.291484880706962	-4.2104659722499	2.54844507751046e-05	0.000157515745553193	depleted in absence of Pc and vg
Tsp29Fa	8.68399081929152	-4.36117634415447	1.27742082241541	-3.41404826634042	0.000640052358089138	0.00271961038305129	depleted in absence of Pc and vg
Tsp29Fb	19.2502653841626	-2.75231365915066	0.97434550951005	-2.82478200216129	0.00473127937550628	0.0151835654503751	depleted in absence of Pc and vg
CG9541	7.20843106574378	-4.89645434553844	1.3427382356747	-3.64661868966445	0.000265713773513484	0.00126123200103174	depleted in absence of Pc and vg
Eaat1	82.658360088295	-2.93684327761316	1.01201994405754	-2.90196185841787	0.00370833687902891	0.0123355788306002	depleted in absence of Pc and vg
CG42847	10.9930357446991	-4.85709130381634	1.58570159981835	-3.0630550567476	0.00219089746858831	0.00785484124713051	depleted in absence of Pc and vg
jp	91.1493889026732	-2.78061077858736	0.531563253834911	-5.23100639204633	1.68589679197496e-07	1.68090266323751e-06	depleted in absence of Pc and vg
CG4382	401.73902608437	4.64399740495849	1.02561764317776	4.52800069874928	5.95443848920443e-06	4.27787505172015e-05	enriched in absence of Pc and vg
Nckx30C	39.2695217149341	-1.96322963470205	0.755190540780291	-2.59964807381402	0.00933194082761166	0.0268383911890944	depleted in absence of Pc and vg
CG4017	10.7944539926443	-4.07134799373521	0.901703102096953	-4.5151757649132	6.32642724376653e-06	4.50722433588934e-05	depleted in absence of Pc and vg
Cpr31A	11.0340166741149	-2.74933604057002	0.899493191432168	-3.05653902303868	0.00223908332880511	0.00800692161398532	depleted in absence of Pc and vg
CG4839	16.7726389152611	-2.37886675509273	0.735934361333905	-3.23244419622011	0.00122736105362779	0.0047665381897356	depleted in absence of Pc and vg
mthl15	19.5308549879221	-1.39506568354474	0.476742847810576	-2.92624355027353	0.00343082233954518	0.0115578233925776	depleted in absence of Pc and vg
Ror	266.698911919459	-1.19047490621494	0.140011105432722	-8.50271771325303	1.85202880151401e-17	7.67555369343884e-16	depleted in absence of Pc and vg
CG5381	48.9136964238292	-2.51946255787613	0.337079990706453	-7.47437589693722	7.75711127398674e-14	2.17023261763654e-12	depleted in absence of Pc and vg
CG4995	5.18633672847577	-4.38841580596438	1.61189505336177	-2.72251955660009	0.00647861987936596	0.019752410376096	depleted in absence of Pc and vg
Schip1	203.906559324297	-1.2638214441494	0.13041207434875	-9.69098490657906	3.29337240253067e-22	2.34483892787873e-20	depleted in absence of Pc and vg
CG5367	16.3311242500469	-1.33616168211785	0.503199031560209	-2.65533436734759	0.00792298316413308	0.0233175871764775	depleted in absence of Pc and vg
dpr19	84.2683719648533	-1.04671341135974	0.248479061190416	-4.21248135092404	2.52580574321399e-05	0.0001563775049603	depleted in absence of Pc and vg
TBC1D16	64.5263655727175	-1.13492705451265	0.329151572584647	-3.44803777056475	0.000564675066625602	0.00244993983008225	depleted in absence of Pc and vg
loh	42.7447319543745	-1.47216611898284	0.522568751470716	-2.81717212297822	0.00484485537558626	0.015476505221926	depleted in absence of Pc and vg
LManI	113.325620695328	-1.03253128990268	0.39295108360058	-2.62763314059775	0.00859811873545428	0.0249585421066782	depleted in absence of Pc and vg
CG17105	6.1701101156095	-6.97312902024536	1.63346490147833	-4.2689187958275	1.96422755415625e-05	0.000124595519383287	depleted in absence of Pc and vg
