geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_vgPc_change
CG1113	8.16490945166024	-3.47870137443629	0.861807938862108	-4.03651581468304	5.42508703121211e-05	0.000311081268227532	depleted in absence of Pc and vg
CG2663	94.1474413831335	-5.67729871931805	0.739974638317666	-7.67228824520987	1.68954740838931e-14	5.13157741274669e-13	depleted in absence of Pc and vg
CG14669	26.3549876596911	-2.54224553535303	0.616094398691058	-4.12638962593108	3.68502739033074e-05	0.000219461658039697	depleted in absence of Pc and vg
CR46136	23.3946474026688	-8.46532567423398	1.53854815068535	-5.50215192840283	3.75183424369101e-08	4.18810280851016e-07	depleted in absence of Pc and vg
cas	15.9992316738511	-3.57176420243441	1.22844117065974	-2.90755820282072	0.00364262551928772	0.0121497422350537	depleted in absence of Pc and vg
CG2082	34.4502630698838	-1.38129386807093	0.375985708322701	-3.67379354452855	0.000238975847157678	0.0011540455366871	depleted in absence of Pc and vg
Gasp	4208.02828503776	-1.36800847294705	0.145084968889834	-9.42901586163492	4.13954564374139e-21	2.61238258324066e-19	depleted in absence of Pc and vg
Obp83ef	23.1262285938846	-4.20656285260475	1.1401986837886	-3.68932442425505	0.000224850341191278	0.00109419694337291	depleted in absence of Pc and vg
Obp83g	136.500814587837	-1.00840056437015	0.183904274549917	-5.48329051534058	4.17486577631254e-08	4.61854922086687e-07	depleted in absence of Pc and vg
NPFR	5.28694634827809	-5.62217685873259	1.44376156674643	-3.89411727547393	9.85569629368565e-05	0.000525526734200511	depleted in absence of Pc and vg
Osi24	139.711035466095	-1.4950709167202	0.233383006948655	-6.40608301464348	1.49305690892531e-10	2.48999746057559e-09	depleted in absence of Pc and vg
Osi4	36.6949547163097	-1.23738156598412	0.47605770341359	-2.59922601212295	0.00934342332271337	0.0268644584119538	depleted in absence of Pc and vg
Osi6	28.0879026133447	1.7916099366815	0.493857858683048	3.62778460478307	0.00028586358652625	0.00134309934667811	enriched in absence of Pc and vg
Osi9	31.7690890378986	-1.84818661262051	0.418343889503321	-4.41786448659445	9.9680882876249e-06	6.78816426963354e-05	depleted in absence of Pc and vg
CG15597	4.76265568940867	-4.63171779533995	1.30825151118864	-3.54038788086835	0.000399539356069169	0.00180540424241671	depleted in absence of Pc and vg
Osi14	40.960945947403	5.94895114146762	0.778314184397497	7.64338009087266	2.11592179918602e-14	6.35176849285382e-13	enriched in absence of Pc and vg
Osi15	9.94314676803006	4.07816587784724	1.01643234236764	4.01223545125265	6.01464653517595e-05	0.000340319302425875	enriched in absence of Pc and vg
Neurochondrin	162.220689839113	-2.70502016210225	0.611376264274611	-4.42447690590624	9.66762444394138e-06	6.59977287638949e-05	depleted in absence of Pc and vg
CG15186	15.6022961140498	-2.22212787406809	0.746155223418601	-2.97810402490669	0.00290037528435027	0.00998898241341968	depleted in absence of Pc and vg
lab	70.6593344555148	-1.53360390855496	0.287129230245789	-5.34116260905293	9.23523681971309e-08	9.69525286923944e-07	depleted in absence of Pc and vg
Ccp84Ad	3.91650274805834	3.16939902206226	1.32666345334722	2.38900002413253	0.016894301252602	0.0439552597827713	enriched in absence of Pc and vg
pncr002:3R	11479.6409957837	-1.23476138129605	0.121955369505737	-10.1246987836642	4.29298497536244e-24	3.60339877837293e-22	depleted in absence of Pc and vg
Ama	4622.04154222862	1.07306397699721	0.0958612673316879	11.1939264612924	4.36659216716829e-29	5.44940889895935e-27	enriched in absence of Pc and vg
Dfd	220.731416627154	-1.42677567976759	0.140336046265647	-10.1668510531271	2.78775675905452e-24	2.4190323689702e-22	depleted in absence of Pc and vg
CR44932	15.0303266491659	2.04898385513062	0.734938839493522	2.78796512719706	0.00530402529972192	0.0167129576322677	enriched in absence of Pc and vg
Antp	632.765173763817	2.93500107180002	0.260816776252429	11.2531145962766	2.23555747967338e-29	2.85406171571635e-27	enriched in absence of Pc and vg
Sodh-1	12.21264281521	-4.52310264975604	1.40179763358847	-3.22664451799461	0.00125250962782194	0.00484524969648578	depleted in absence of Pc and vg
Mlp84B	198.605487175776	-3.41403158064277	0.878006581388594	-3.88838950984101	0.000100911589840469	0.000536536633967493	depleted in absence of Pc and vg
CR42875	13.7374403116586	-1.9754789245387	0.557452056083901	-3.54376471120482	0.000394457103065025	0.0017868005888023	depleted in absence of Pc and vg
Gld	378.677375375702	-1.32916109590694	0.395148848036669	-3.36369725613775	0.00076905855479313	0.00317308074594624	depleted in absence of Pc and vg
CR44334	109.32854856423	2.13978263567881	0.358280694433277	5.97236376094304	2.33840405549373e-09	3.21842055072724e-08	enriched in absence of Pc and vg
CG31496	102.955329292253	-9.46366240362791	1.61998389293583	-5.84182499893705	5.16320306095708e-09	6.62213584273099e-08	depleted in absence of Pc and vg
CG14598	408.436650377635	2.69941636265671	0.161786057071825	16.6850988985924	1.6822722253898e-62	1.43730750826189e-59	enriched in absence of Pc and vg
alpha-Est10	87.7959658165809	-1.40094985665396	0.239263896258698	-5.85524969943321	4.76293855786967e-09	6.15139053049516e-08	depleted in absence of Pc and vg
alpha-Est9	81.6311057590887	-2.28237087479018	0.429528150040076	-5.313670069301	1.07439069001242e-07	1.11317699570596e-06	depleted in absence of Pc and vg
alpha-Est8	16.1146350123451	-1.97340984842014	0.736619802530847	-2.67900732730776	0.00738407779938316	0.0219526103098899	depleted in absence of Pc and vg
alpha-Est5	18.5666230209005	-3.0547737189817	0.529993588879103	-5.76379371954729	8.22439278360625e-09	1.02985716626285e-07	depleted in absence of Pc and vg
alpha-Est2	47.7961562093861	-5.83082086927073	2.15113447972153	-2.71057942877915	0.00671657594600022	0.020321713165956	depleted in absence of Pc and vg
