geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_PcKD_change
CG8401	9.66357592503944	-2.50952897218902	0.781372896700209	-3.21169186029734	0.00131955826543415	0.00889637669276575	depleted in absence of Pc
Asph	117.519355091302	-1.10696891223497	0.32930579226296	-3.36152274950275	0.000775139710406117	0.00582834491502867	depleted in absence of Pc
Ptp52F	39.2124317962948	2.14035706288317	0.770592658044154	2.77754665910732	0.00547709756999218	0.0282732351271054	enriched in absence of Pc
JhI-26	40.8862238284634	-1.79865847403163	0.610828889988709	-2.94461919452578	0.00323352369959349	0.0185827812612441	depleted in absence of Pc
Nox	575.554053660892	1.29156500339391	0.107501397008194	12.0144020388447	2.98521183801645e-33	1.79832673136038e-30	enriched in absence of Pc
RpLP2	25583.5920629357	1.02490748447595	0.11074717780975	9.25447947970842	2.15276746977755e-20	4.33223577283819e-18	enriched in absence of Pc
Idgf6	1369.62631215715	-1.09827211829312	0.374399101472446	-2.93342615934121	0.00335243387448286	0.0191266157707961	depleted in absence of Pc
fat-spondin	248.14140727251	1.46509062251877	0.257025921591711	5.70016679036011	1.19690264957265e-08	3.87894937793464e-07	enriched in absence of Pc
CG34193	53.6163529165647	-1.03884031723637	0.340528122659962	-3.05067407978436	0.00228328277142441	0.0139019612735775	depleted in absence of Pc
Uhg1	446.331154961191	-1.04482354642697	0.150991400522268	-6.9197553159518	4.52424398737701e-12	2.632544470155e-10	depleted in absence of Pc
CG5002	52.2710381655919	-1.32543495040844	0.503266356400025	-2.63366492425515	0.00844688016913767	0.0399374422032035	depleted in absence of Pc
PPO1	1853.66480933028	-1.0437964817488	0.232409059146101	-4.49120393836556	7.08216964552047e-06	0.000108738379819753	depleted in absence of Pc
GstE2	13.4867538963527	-2.27479630193721	0.808945623347726	-2.81205094172243	0.00492267063730202	0.0260494913714445	depleted in absence of Pc
tn	116.243700131828	-1.25729060300368	0.458332877482485	-2.74318222578682	0.00608469089675732	0.030673569368253	depleted in absence of Pc
rib	5.88969939500944	4.24987857702767	1.36458997965596	3.11439966611739	0.00184319632988075	0.0116735767559114	enriched in absence of Pc
Obp56a	430.600102085833	-3.30978448634471	0.678684844570928	-4.87676203884763	1.07841399453827e-06	2.113952364699e-05	depleted in absence of Pc
Obp56e	31.6466935916783	-5.77496142102841	1.07058320369692	-5.39422008591803	6.88218212528133e-08	1.82119966782962e-06	depleted in absence of Pc
Cpr56F	49.4036929110177	-2.39966610503524	0.649599292327386	-3.69407130423081	0.000220691873023647	0.00206026022938484	depleted in absence of Pc
dpr1	103.968835334658	-2.09126759355945	0.232761170299811	-8.98460680046317	2.59661075303381e-19	4.43198178696988e-17	depleted in absence of Pc
CR44660	3.36759483198399	-6.38360033009792	1.72297265721229	-3.70499224313075	0.000211397201843612	0.00198071248314769	depleted in absence of Pc
CG17974	2.31726081212998	-5.84358883995607	1.87467206895089	-3.11712588923687	0.00182623569678832	0.0115876578505633	depleted in absence of Pc
VepD	46.3413424609237	1.50341176342996	0.299074094432025	5.02688728786459	4.98505149238104e-07	1.0547915771379e-05	enriched in absence of Pc
CG30195	52.557613891183	1.02035044518621	0.334038062539808	3.05459335211122	0.00225365864965051	0.0137461097266652	enriched in absence of Pc
CG30196	40.4115081464685	-1.32514321327295	0.460798146638397	-2.87575638691279	0.00403060658818769	0.0221386705651425	depleted in absence of Pc
Obp58c	3.48957720544445	-6.33195710915147	1.59511266786181	-3.96959866016187	7.19937926809344e-05	0.000793636631695854	depleted in absence of Pc
CG9877	41.9992663430913	-3.1179543135431	0.726343800242299	-4.29267009989345	1.76537210313536e-05	0.00024464378495547	depleted in absence of Pc
CG13545	10.9393606743792	-7.10484416402804	1.5158371340521	-4.68707620655494	2.77135792883178e-06	4.76199270959165e-05	depleted in absence of Pc
CG34371	1970.49646283567	1.09975010048457	0.0675020046284035	16.292110234928	1.12286969371192e-59	1.14993085333037e-55	enriched in absence of Pc
CG34423	25.326106578609	-2.98308704177685	0.548826876251689	-5.43538804467882	5.46773075169938e-08	1.51337920616631e-06	depleted in absence of Pc
CG13560	289.486044666533	-4.76880373492166	1.44995936028806	-3.28892234191601	0.00100571768826254	0.0071674007275551	depleted in absence of Pc
CR44807	22.7404645175932	-1.09153396772658	0.366079605047667	-2.98168472833785	0.00286667042038482	0.0168045631225878	depleted in absence of Pc
CG5597	35.1364710798367	-1.57085535447804	0.564504385137836	-2.782715946652	0.00539059784270034	0.0278954585685165	depleted in absence of Pc
CR44811	77.6352258158326	1.16621372392394	0.418230760031821	2.7884456031766	0.005296164083187	0.0275175451019106	enriched in absence of Pc
SerT	8.45674891666651	-2.70309109955386	0.863459437733583	-3.13053628396136	0.0017448744271725	0.0111752714250617	depleted in absence of Pc
Cyp9c1	535.350902358341	2.47058901974574	0.278827914374464	8.86062295910501	7.95685471134312e-19	1.27322107966976e-16	enriched in absence of Pc
Mmp1	1523.24083994139	1.56359519659821	0.1283277764589	12.1843862626186	3.76476774029128e-34	2.40968665177019e-31	enriched in absence of Pc
Lcp9	94.0240943765736	-3.06790825306634	0.90802361745916	-3.37866570216641	0.000728385216857743	0.00557503214188352	depleted in absence of Pc
CR43257	52.6399894946881	-1.88246966929712	0.284546721644186	-6.61567864292975	3.69851039974913e-11	1.88440024894681e-09	depleted in absence of Pc
CG30427	14.8799111660197	-1.318647990129	0.485419706657927	-2.71651103579575	0.00659739956784762	0.0326869709600036	depleted in absence of Pc
CG3829	68.1492388309056	-1.20099520866719	0.44772496536687	-2.68243967070964	0.0073087332971466	0.0356252916211701	depleted in absence of Pc
Kr	102.417339570855	1.53596570108567	0.452618284754646	3.39351226590036	0.000690024682593083	0.00534304638493307	enriched in absence of Pc
CG6845	284.051062786305	-1.32167349395586	0.152271528362593	-8.67971516519265	3.96761198338906e-18	5.72286117209681e-16	depleted in absence of Pc
