geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	w1118_vs_sdPc_change
CG6034	7.7614904246298	-4.71384482817394	1.27002360600924	-3.71161985168615	0.000205937116435169	0.000849997603955937	depleted in absence of sd and Pc
CG32191	11.2610653093702	-2.99270120152981	1.0643977930656	-2.81163792430503	0.00492899534553049	0.0141793191667462	depleted in absence of sd and Pc
cln3	7.38887228432533	-5.5701118988061	1.82778416268433	-3.04746698900471	0.00230778872637426	0.00727166223655004	depleted in absence of sd and Pc
CG5577	33.9007354987518	-1.29809996139293	0.535461764314521	-2.42426266057431	0.0153395063766812	0.0377606155420652	depleted in absence of sd and Pc
CR45175	4.7383590271568	-2.82194434680983	0.909235903228345	-3.10364377032428	0.001911533355824	0.00616654109298203	depleted in absence of sd and Pc
CG5535	419.644612538257	1.05092780412739	0.15887212365672	6.61492891224995	3.71730336115387e-11	5.12895508476223e-10	enriched in absence of sd and Pc
CG7402	25.6843967783042	-6.15745327043798	1.42492191316208	-4.32125663417852	1.55143102549857e-05	8.32853765114192e-05	depleted in absence of sd and Pc
CG44004	29.9961637559033	-1.6527912801629	0.378839338538673	-4.36277628014646	1.28422251692445e-05	7.0473614108102e-05	depleted in absence of sd and Pc
CG34253	16.5706021706006	-7.02992260315626	1.63737452203288	-4.29341150027685	1.75948466833642e-05	9.2927228774192e-05	depleted in absence of sd and Pc
Cyp312a1	21.3857087468292	-2.83320630718354	0.853241977827468	-3.320519126822	0.00089850202186835	0.00315313173993421	depleted in absence of sd and Pc
geko	194.541782724972	-1.55780284529485	0.244803794132756	-6.36347508752277	1.97239397022133e-10	2.50943640632855e-09	depleted in absence of sd and Pc
CG13699	11.0242455473896	-1.44556151821154	0.584275687307564	-2.47410862648233	0.0133569077767873	0.0334736404956625	depleted in absence of sd and Pc
CG7320	48.9943719183131	-5.47653980142457	1.51805216226983	-3.6076097630505	0.000309030817582282	0.00122280202739095	depleted in absence of sd and Pc
rpr	329.266662458381	2.3286138306204	0.182530699499945	12.7573818376843	2.83572778336564e-37	5.52568920874424e-35	enriched in absence of sd and Pc
CG32198	553.774264309524	-6.13134597736061	1.10575548342975	-5.54493834237465	2.94057773111013e-08	2.7037249055828e-07	depleted in absence of sd and Pc
GNBP2	173.513317516488	2.39812486161709	0.190537695532147	12.5860914551288	2.51837662397382e-36	4.82269123490986e-34	enriched in absence of sd and Pc
Cyp12c1	27.6085617934616	-2.07831064187269	0.744893777180961	-2.79007652572696	0.00526955847915609	0.0150305562475569	depleted in absence of sd and Pc
CR32027	57.6035677152167	1.55665721103887	0.416846428747075	3.73436619264738	0.000188188511277099	0.000786384422405845	enriched in absence of sd and Pc
