geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
186	CecA2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
187	Rpt6R	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
188	CG31021	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
189	Spn100A	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
190	mey	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
191	nyo	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
192	CR43436	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
193	Sox102F	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
194	sc	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
195	Cyp4g1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
196	CG3706	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
197	CG3699	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
198	fs(1)N	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
199	CG14797	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
200	CG4325	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
201	CG17777	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
202	brv3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
203	Sgs4	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
204	fd3F	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
205	CG5966	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
206	CG4766	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
207	CG3823	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
208	CR44895	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
209	m	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
210	CG12721	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
211	CG12715	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
212	CG15756	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
213	Cpr12A	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
214	CG12481	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
215	CG9411	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
216	CR44998	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
217	CG13010	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
218	CG42854	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
219	bnb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
220	HP1D3csd	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
