geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CG3650	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG13905	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG33965	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG18171	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG18173	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG14949	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG32284	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG42525	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG33514	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG7509	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG10592	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG5150	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG10472	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG10064	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG8628	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG32379	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG8562	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG18417	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG7366	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG5804	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG34427	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG3222	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG18179	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG18180	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG6409	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG7264	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG10943	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG14120	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG14105	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CG10116	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG32141	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG43120	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG3868	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG5048	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG13457	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG7804	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG6244	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CG13445	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CG18814	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
