geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CR44552	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR43870	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR43877	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR43309	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44317	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45593	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44933	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44333	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44334	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR45551	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45595	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR43436	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44895	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44998	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Psi28S-1180	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Dek-a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:185	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Psi18S-176	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Psi18S-1086	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
snoRNA:Psi28S-2622	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
