geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
160	CG12256	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
161	CG10041	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
162	CG11656	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
163	CG31157	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
164	Ir87a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
165	Cht5	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
166	CG14850	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
167	CG10264	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
168	CR45638	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
169	CG17562	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
170	Ubx	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
171	bxd	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
172	AttD	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
173	CG44158	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
174	MtnB	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
175	snoRNA:Psi18S-301	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
176	CG43446	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
177	CG31343	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
178	CG31233	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
179	CG13833	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
180	CG13606	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
181	CG5715	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
182	CG13622	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
183	CCAP-R	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
184	CR43643	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
185	TwdlM	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
186	CG14257	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
187	CG13978	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
188	CG43319	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
189	CR45566	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
190	Ppn	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
191	snoRNA:Psi28S-3405b	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
192	snoRNA:Psi28S-3405c	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
193	CG33346	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
194	Ssl2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
195	CG11841	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
196	Dr	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
197	CG15506	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
198	CG34296	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
199	Jon99Fi	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
200	CG31019	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
201	Spn100A	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
202	mey	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
203	nyo	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
204	CG13361	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
205	CG3699	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
206	snoRNA:Me28S-G980	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
207	Hr4	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
208	CG18031	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
209	CG17717	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
210	CG32719	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
211	hdm	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
212	CG10970	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
213	CR44517	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
214	CG17440	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
215	CG3106	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
216	CG2898	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
217	C901	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
218	CR44266	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
219	m	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
220	CG9411	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
221	Ag5r2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
222	CG42300	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
223	CG12698	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
224	sing	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
225	CR44754	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
226	snoRNA:Psi28S-1135d	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
227	CG8568	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
228	CR44124	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
229	CG6696	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
230	CCKLR-17D3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
231	Cyp6t1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
232	CG17167	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
233	CR40976	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
