geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
226	CG10472	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
227	Lcp65Ag3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
228	Lcp65Aa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
229	CR44522	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
230	zpg	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
231	CG10064	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
232	Cpr65Ea	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
233	CG8628	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
234	CG32379	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
235	CG8562	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
236	CG18417	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
237	fan	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
238	CG7366	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
239	eIF4E-3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
240	Jon66Ci	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
241	Jon66Cii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
242	snoRNA:U49:66Db	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
243	S-Lap2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
244	CG5804	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
245	CG34427	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
246	CG3222	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
247	CG18179	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
248	CG18180	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
249	CG6409	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
250	Elo68beta	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
251	CG7264	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
252	CG10943	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
253	CG14120	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
254	CG14105	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
255	CG10116	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
256	CG32141	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
257	CG43120	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
258	CG3868	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
259	CR45233	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
260	CG5048	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
261	ind	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
262	CG13457	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
263	CG7804	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
264	CG6244	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
265	CG13445	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
266	ms(3)72Dt	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
267	CR32160	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
268	Cpr72Ea	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
269	Cpr72Eb	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
270	CG18814	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
271	CG4753	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
272	sinah	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
273	CG13028	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
274	CG6652	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
275	edin	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
276	CR44567	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
277	cln3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
278	CG45081	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
279	Ssk	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
280	CR43875	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
281	CG5665	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
282	snoRNA:Me18S-U1356b	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
283	snoRNA:Me18S-U1356c	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
284	Sfp77F	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
285	CG10588	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
286	CG33286	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
287	CG33285	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
288	CG12974	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
289	sa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
290	CG7173	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
291	Act79B	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
292	CG7140	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
293	CG14457	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
294	BoYb	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
295	CG42598	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
296	CR45181	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
297	snoRNA:Psi28S-3186	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
298	Osi14	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
299	CG1315	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
300	Ccp84Ae	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
301	CR44932	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
302	Antp	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
303	CR43252	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
304	CG14609	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
305	CG44335	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
306	alpha-Est8	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
307	alpha-Est6	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
308	CG18744	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
309	CG11052	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
310	CG7910	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
311	CG31463	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
312	CG34301	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
313	Pif1B	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
314	CG11966	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
315	CG16749	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
316	CG8147	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
317	CR45053	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
318	CG8358	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
319	CG8534	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
320	CG16904	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
